gene,logFC,avg_expr,pvalue,padj,neg_log10_p,significant
AP1S1,0.8140826,5.741255,6.755358048666613e-18,2.1431973504652958e-17,17.170351627479967,False
FERMT1,1.3311801,5.139759,6.777141371581817e-18,2.1487448863607537e-17,17.168953454856137,True
C16orf54,-1.0324941,1.3930099,6.905085182065422e-18,2.187923061490945e-17,17.160830959536792,True
HBB,-2.8167965,4.311523,7.022219225433475e-18,2.2236286337661415e-17,17.15352561649558,True
LRRC75A,-1.089895,3.2573786,7.181381483587878e-18,2.2725890770847718e-17,17.143792002416873,True
EIF3E,0.77667046,3.2927942,7.209229211011571e-18,2.2799586372585613e-17,17.142111166251297,False
PLS3,1.1366727,4.2561054,7.50909767964016e-18,2.373292566257952e-17,17.124412246257705,True
PDE5A,-1.2762429,2.1799374,7.531605953657657e-18,2.3789027017238336e-17,17.123112409928442,True
UBTD1,0.90571344,2.1600502,7.548573579425961e-18,2.3823314667354874e-17,17.122135107325953,False
MGAT4A,-1.0977502,3.3972466,7.551990749551495e-18,2.3823314667354874e-17,17.121938550677836,True
ZNF256,-0.42976683,1.0655558,7.618581476261676e-18,2.4018226596033028e-17,17.118125883566055,False
SPARC,1.2884874,6.688377,7.83200168303193e-18,2.4675493645343197e-17,17.10612722787864,True
CHP1,-1.2975011,5.9968386,7.899145385399984e-18,2.4871364563601964e-17,17.1024198928212,True
RAB15,1.0974052,3.7711625,8.204617917232867e-18,2.5816922332387878e-17,17.08594163890109,True
POLE2,0.80186963,1.6158649,8.225002946554249e-18,2.58647891401077e-17,17.084863937794765,False
DLGAP5,1.0565327,2.484484,8.356533280197953e-18,2.6261889629786147e-17,17.07797385288785,True
TRIM36,-0.9964974,1.697832,8.421315973911549e-18,2.6448856701983507e-17,17.07462003729478,False
SMPD3,-1.2539306,3.1626885,8.666313119795696e-18,2.720123389766383e-17,17.062165623662736,True
IGLV3-19,-2.9202104,6.3901596,8.70921032303194e-18,2.7318727487553134e-17,17.060021221329563,True
ASAP1,0.5750407,2.1254802,8.801660543126158e-18,2.7591412360897048e-17,17.05543538504483,False
NAT1,-1.178185,2.6136134,8.884935052343923e-18,2.7835009562480965e-17,17.051345742480148,True
CLTB,-0.6324005,6.2953124,9.022464897816286e-18,2.824816812090259e-17,17.04467479890152,False
RRM2,1.4586663,3.1648583,9.06613077208927e-18,2.836711755972863e-17,17.042578020862248,True
HAPLN3,1.124478,1.815449,9.116417468961282e-18,2.8506621228771985e-17,17.040175795348294,True
AHR,0.49254107,2.6545148,9.247120670681813e-18,2.8897252095880666e-17,17.03399347499052,False
